airport,lat,lon
NID,35.68538806,-117.69516861
CNO,233.97477931,-117.63648283
L77,833.66481111,-115.71041389
2O6,737.11327778,-120.24700000
O60,238.77627778,-122.99261111
3O8,736.24811111,-120.23847222
C80,336.16211111,-120.29483333
O22,438.03041667,-120.41455556
O08,239.17900000,-121.99333333
CPM,33.88991667,-118.24380556
CCR,37.98965667,-122.05690222
0O4,539.94610806,-122.17111667
AJO,733.89765408,-117.60243975
O09,339.79050000,-123.26633333
CEC,841.78016667,-124.23652778
DAG,34.85372222,-116.78669444
DWA,438.57938889,-121.85694444
EDU,538.53146222,-121.78646389
L06,536.46050000,-116.87980556
L09,536.60383333,-117.15922222
DLO,935.74555556,-119.23650000
ROAD,238.69522222,-120.82605556
D63,140.49204889,-123.59822139
A32,941.88725000,-121.97558333
LLC,36.89994833,-120.66768250
1O6,141.26291944,-122.27203750
ROAD,38.65250000,-122.02805556
EDW,834.90808839,-117.88552853
9L2,34.99078472,-117.86319167
NJK,132.82663281,-115.66856342
RD,34.62543056,-117.59830556
EMT,34.08600889,-118.03484528
BLU,639.27497222,-120.70975000
O19,140.71895194,-123.92721694
EKA,240.80339806,-124.11279028
O33,440.78086111,-124.21227778
SUU,638.26453667,-121.92413147
L18,633.35467417,-117.25028528
O89,41.01736111,-121.43497222
L73,435.59638889,-119.12827778
F34,336.85998861,-120.46446750
A28,241.87650000,-120.14663889
A30,941.55777778,-122.85494444
BYS,35.28053028,-116.63002944
FOT,140.55394139,-124.13265556
F72,238.30400000,-121.42930556
FCH,136.73212417,-119.82033250
FAT,36.77655556,-119.71883333
E79,536.84016667,-119.86938889
FUL,333.87201417,-117.97978417
O16,140.08543972,-123.81414694
0O9,841.84558333,-123.98477778
E36,938.92111111,-120.86480556
LLC,334.76784247,-118.73280078
GOO,439.22406028,-121.00254917
E45,537.86166667,-120.17855556
E55,538.80170750,-123.53055222
3O1,137.26055556,-120.96425000
HAF,37.51344444,-122.50116667
HJO,936.31672222,-119.62766667
36S,941.79067944,-123.38894444
HHR,733.92286111,-118.33508333
F62,540.54700000,-123.17963889
HWD,837.65893167,-122.12173889
HES,38.65285917,-122.89864153
HMT,833.73402778,-117.02230556
H37,940.13872222,-120.17997222
AHC,740.26591811,-120.15061331
L26,134.37694444,-117.31605556
CVH,536.89334750,-121.41027361
1C9,236.95283333,-121.46263889
L04,132.84494444,-115.26850000
O21,541.04147222,-123.66780556
H47,540.62561111,-123.46850000
IPL,932.83422222,-115.57875000
NRS,32.56615961,-117.11352550
2O7,136.81637239,-118.20493256
IYK,435.65874128,-117.82953250
JAQ,638.37680167,-120.79391028
L78,32.61588056,-116.16553889
L05,435.72822222,-118.41972222
KIC,336.22855556,-121.12130556
S51,841.51202778,-123.99566667
1O2,138.99061111,-122.90072222
WJF,834.74105556,-118.21863889
POC,534.09166667,-117.78177778
O24,237.95773864,-119.10581117
NLC,36.33312678,-119.95216164
LHM,338.90916667,-121.35133333
LLR,339.26205556,-123.75377778
LVK,37.69338889,-121.82036111
RD,437.69905556,-121.70975000
1O3,638.20244167,-121.26914167
O20,738.09186944,-121.35833333
L53,138.08408694,-121.31633694
VBG,134.73733667,-120.58431256
LPC,834.66561944,-120.46750278
O26,136.58869444,-118.04938889
L80,336.21812414,-118.17832744
LGB,533.81792972,-118.15189056
WAY,33.80741667,-118.14573889
SLI,133.79003000,-118.05142000
LAX,933.94249639,-118.40804861
WHP,134.25932528,-118.41343306
LSN,637.06388889,-120.86986111
MAE,136.98860028,-120.11244972
RD,136.85676111,-119.91883056
MMH,537.62405556,-118.83875000
OAR,236.68152778,-121.76166667
MPI,637.51086111,-120.03952778
M45,38.73475000,-119.76705556
MYV,39.09777778,-121.56983333
BAB,339.13610078,-121.43658697
M90,836.75861111,-120.37138889
MCE,337.28475000,-120.51391667
MER,937.38048444,-120.56818639
MOD,837.62582472,-120.95443000
MHV,335.05894444,-118.15061111
1O5,241.72998333,-122.54448056
SIY,941.78144444,-122.46811111
MRY,36.58695222,-121.84278306
NUQ,37.41614389,-122.04912917
F70,833.57417908,-117.12847319
APC,38.21318917,-122.28068722
EED,34.76634683,-114.62327989
L88,634.94017778,-119.68611667
DVO,438.14357583,-122.55709139
O27,37.75634361,-120.80020833
OAK,637.72126139,-122.22115056
L52,835.10152917,-120.62231528
NFG,33.30125833,-117.35516944
OKB,33.21797639,-117.35150750
L90,633.14781744,-116.13153358
ONT,34.05601417,-117.60118750
O37,39.72038889,-122.14636111
OVE,39.48781944,-121.62198778
OXR,234.20080694,-119.20722639
PMD,234.62938889,-118.08455278
PSP,33.82966972,-116.50669417
UDD,833.74843750,-116.27481333
TRM,833.62667056,-116.15965444
PAO,437.46112139,-122.11504667
RD,939.71055556,-121.61650000
PRB,735.67288889,-120.62708333
L65,433.76463889,-117.21900000
O69,438.25779333,-122.60532361
PVF,938.72422750,-120.75330917
NTD,734.11927650,-119.11958894
PTV,436.02958333,-119.06272222
2O1,939.94391667,-120.94538889
RNM,633.03916667,-116.91525000
INC,38.48677778,-121.10277778
O39,940.80370278,-120.36620833
RBL,540.15030556,-122.25219444
O85,140.57367972,-122.40733556
RDD,140.50898528,-122.29338528
REI,34.08525000,-117.14638889
O32,336.67100000,-119.45102778
L36,538.67500000,-121.44544444
O88,38.19338889,-121.70363889
RAL,333.95188889,-117.44511111
RIR,933.98878750,-117.40990972
RIV,333.88194333,-117.25901694
L00,34.87050000,-118.20541667
T42,540.21147222,-123.29769444
SMF,938.69544444,-121.59077778
MHR,738.55531083,-121.29721139
SAC,538.51286139,-121.49330111
MCC,738.66763889,-121.40061111
SNS,436.66241083,-121.60715361
SAS,33.24119444,-115.95258333
CPU,138.14611111,-120.64816667
SBD,34.09536111,-117.23488889
SQL,37.51186111,-122.24953111
NUC,33.02274900,-118.58849739
SEE,32.82622222,-116.97244444
MYF,32.81572222,-117.13955556
SAN,32.73356278,-117.18966333
NKX,32.86852911,-117.14319222
NZY,32.69819900,-117.21311478
SDM,632.57227778,-116.98016667
SFO,37.61880556,-122.37541667
RHV,37.33286111,-121.81980556
SJC,37.36299472,-121.92862056
SBP,835.23727250,-120.64260278
E16,37.08158333,-121.59680556
NSI,33.23978444,-119.45820639
SNA,133.67566194,-117.86823306
SBA,134.42619167,-119.84149278
LLC,537.07050361,-122.12746556
